Airline,Source,Destination,Total_Stops,Month_of_Journey,Day_of_Journey,Duration_in_minute,Price
Air India,Delhi,Cochin,1 stop,4,21,1010,7174
Jet Airways,Delhi,Cochin,1 stop,6,15,610,10262
Air India,Banglore,Delhi,non-stop,6,6,165,6961
Air India,Delhi,Cochin,2 stops,6,6,1490,13381
Air India,Delhi,Cochin,1 stop,5,18,1255,7480
IndiGo,Banglore,Delhi,non-stop,12,4,175,5780
Jet Airways,Banglore,New Delhi,1 stop,3,15,280,6136
Jet Airways,Kolkata,Banglore,1 stop,5,15,575,13067
Jet Airways,Kolkata,Banglore,1 stop,9,6,1220,10844
Multiple carriers,Delhi,Cochin,2 stops,5,18,625,16840
Jet Airways,Delhi,Cochin,1 stop,6,15,885,10262
IndiGo,Mumbai,Hyderabad,non-stop,12,6,90,2754
Jet Airways,Mumbai,Hyderabad,non-stop,3,15,90,8040
Air India,Delhi,Cochin,1 stop,6,4,965,4697
IndiGo,Delhi,Cochin,1 stop,5,27,940,6674
Jet Airways,Delhi,Cochin,2 stops,6,27,1195,12819
Air India,Kolkata,Banglore,2 stops,1,5,1200,14687
Air India,Kolkata,Banglore,non-stop,6,24,150,5510
Jet Airways,Mumbai,Hyderabad,non-stop,1,3,85,17501
IndiGo,Delhi,Cochin,1 stop,4,15,425,6287
Vistara,Mumbai,Hyderabad,1 stop,6,3,480,12395
Air India,Banglore,New Delhi,1 stop,12,3,990,11602
Air India,Banglore,Delhi,non-stop,4,21,170,5228
Jet Airways,Kolkata,Banglore,1 stop,1,5,570,14781
Jet Airways,Delhi,Cochin,1 stop,6,24,1680,10262
SpiceJet,Mumbai,Hyderabad,non-stop,6,15,90,2647
SpiceJet,Kolkata,Banglore,non-stop,9,5,145,3873
IndiGo,Delhi,Cochin,1 stop,5,15,515,6442
Jet Airways,Delhi,Cochin,1 stop,9,6,620,18371
Jet Airways,Delhi,Cochin,1 stop,5,21,660,16289
IndiGo,Mumbai,Hyderabad,non-stop,6,15,90,2227
IndiGo,Banglore,New Delhi,non-stop,3,24,175,5694
IndiGo,Banglore,Delhi,non-stop,12,5,170,3943
Jet Airways,Banglore,Delhi,non-stop,3,6,175,8016
Air India,Kolkata,Banglore,2 stops,6,6,1320,15894
SpiceJet,Banglore,Delhi,non-stop,4,27,170,4885
IndiGo,Delhi,Cochin,1 stop,5,15,750,7503
Jet Airways,Banglore,New Delhi,1 stop,1,3,1220,25735
IndiGo,Banglore,New Delhi,non-stop,3,24,175,6144
IndiGo,Chennai,Kolkata,non-stop,3,3,135,7295
Jet Airways,Banglore,New Delhi,1 stop,6,3,1400,14815
Multiple carriers,Delhi,Cochin,1 stop,6,15,460,10678
Jet Airways,Delhi,Cochin,1 stop,3,6,1040,14714
Air India,Banglore,New Delhi,2 stops,3,15,1795,8534
IndiGo,Kolkata,Banglore,1 stop,6,5,315,7252
IndiGo,Chennai,Kolkata,non-stop,12,5,140,3597
Air India,Kolkata,Banglore,1 stop,12,5,745,8891
Air India,Banglore,Delhi,non-stop,12,6,165,6961
Jet Airways,Banglore,Delhi,non-stop,3,6,180,6478
SpiceJet,Chennai,Kolkata,non-stop,9,3,135,6300
IndiGo,Delhi,Cochin,1 stop,6,6,570,6316
Air India,Banglore,New Delhi,1 stop,3,21,985,6987
Jet Airways,Delhi,Cochin,1 stop,3,27,705,12032
SpiceJet,Delhi,Cochin,1 stop,6,27,315,5583
Vistara,Kolkata,Banglore,1 stop,1,5,1440,8610
Vistara,Kolkata,Banglore,1 stop,12,5,1550,9135
SpiceJet,Delhi,Cochin,1 stop,5,27,270,5158
Jet Airways,Delhi,Cochin,1 stop,3,6,1015,11627
Multiple carriers,Delhi,Cochin,1 stop,6,6,455,7038
Jet Airways,Delhi,Cochin,1 stop,9,3,1610,14053
IndiGo,Chennai,Kolkata,non-stop,3,24,140,4326
SpiceJet,Banglore,Delhi,non-stop,9,6,170,4423
Jet Airways,Banglore,Delhi,non-stop,6,24,185,8016
Vistara,Kolkata,Banglore,1 stop,3,24,1595,11682
Vistara,Banglore,Delhi,non-stop,5,18,170,4668
Jet Airways,Delhi,Cochin,1 stop,12,6,300,10262
IndiGo,Kolkata,Banglore,non-stop,3,5,160,4804
Air India,Delhi,Cochin,1 stop,9,5,1255,7480
Air Asia,Kolkata,Banglore,non-stop,6,21,150,4107
IndiGo,Chennai,Kolkata,non-stop,5,21,140,5277
Jet Airways,Banglore,Delhi,non-stop,5,27,180,7229
IndiGo,Kolkata,Banglore,non-stop,4,27,155,4804
Jet Airways,Kolkata,Banglore,1 stop,5,15,400,10844
Jet Airways,Delhi,Cochin,1 stop,1,6,1225,10262
Jet Airways,Kolkata,Banglore,1 stop,6,5,735,14388
IndiGo,Chennai,Kolkata,non-stop,1,5,140,3597
Jet Airways,Kolkata,Banglore,1 stop,6,6,1550,10844
IndiGo,Chennai,Kolkata,non-stop,12,3,140,6297
Vistara,Kolkata,Banglore,1 stop,9,6,1625,8085
Jet Airways,Mumbai,Hyderabad,non-stop,1,5,90,2228
IndiGo,Kolkata,Banglore,non-stop,3,6,150,5644
Multiple carriers,Delhi,Cochin,1 stop,6,5,480,13727
Jet Airways,Kolkata,Banglore,1 stop,6,6,570,10844
Jet Airways,Delhi,Cochin,2 stops,9,6,900,13882
Jet Airways,Delhi,Cochin,1 stop,9,6,660,10262
Air Asia,Delhi,Cochin,1 stop,6,27,330,6152
Vistara,Kolkata,Banglore,1 stop,1,5,1640,8610
Jet Airways,Banglore,New Delhi,1 stop,6,3,685,16736
Jet Airways,Delhi,Cochin,2 stops,3,21,550,11702
IndiGo,Banglore,Delhi,non-stop,3,5,170,4284
Air India,Delhi,Cochin,2 stops,5,27,1855,12488
IndiGo,Banglore,Delhi,non-stop,6,21,170,3943
Air Asia,Delhi,Cochin,1 stop,5,15,330,6451
Air India,Mumbai,Hyderabad,non-stop,6,5,80,3625
Air Asia,Kolkata,Banglore,1 stop,9,4,220,5162
IndiGo,Banglore,New Delhi,non-stop,9,3,170,5694
IndiGo,Kolkata,Banglore,non-stop,3,18,165,4148
Jet Airways,Kolkata,Banglore,1 stop,3,24,1655,10031
Jet Airways,Banglore,Delhi,non-stop,1,4,185,7229
IndiGo,Kolkata,Banglore,non-stop,6,6,155,4804
Multiple carriers,Delhi,Cochin,1 stop,3,3,755,13838
Air India,Kolkata,Banglore,2 stops,5,15,1625,12723
IndiGo,Delhi,Cochin,1 stop,5,18,320,6347
SpiceJet,Kolkata,Banglore,non-stop,6,24,150,3873
GoAir,Delhi,Cochin,1 stop,3,4,355,4725
Vistara,Banglore,New Delhi,non-stop,3,21,175,4878
Multiple carriers,Delhi,Cochin,1 stop,6,15,465,16108
Jet Airways,Kolkata,Banglore,1 stop,12,6,730,12471
SpiceJet,Kolkata,Banglore,non-stop,1,3,140,5515
SpiceJet,Mumbai,Hyderabad,non-stop,6,6,90,1965
Jet Airways,Delhi,Cochin,2 stops,3,21,1420,9483
IndiGo,Chennai,Kolkata,non-stop,9,5,145,4332
IndiGo,Mumbai,Hyderabad,non-stop,5,18,90,2227
Jet Airways,Delhi,Cochin,2 stops,5,21,810,15129
IndiGo,Delhi,Cochin,1 stop,9,6,630,6316
IndiGo,Banglore,Delhi,non-stop,6,4,175,4823
Jet Airways,Delhi,Cochin,1 stop,5,27,335,12898
Multiple carriers,Delhi,Cochin,1 stop,9,6,925,9646
Vistara,Kolkata,Banglore,1 stop,9,5,1065,8452
Jet Airways,Kolkata,Banglore,1 stop,3,24,1160,14231
GoAir,Banglore,Delhi,non-stop,3,4,175,4239
IndiGo,Delhi,Cochin,1 stop,6,4,305,5073
Jet Airways,Banglore,Delhi,non-stop,9,4,175,4544
Jet Airways,Kolkata,Banglore,1 stop,6,6,1520,10539
Jet Airways,Delhi,Cochin,2 stops,9,5,535,13029
IndiGo,Kolkata,Banglore,non-stop,6,3,155,5618
Jet Airways,Kolkata,Banglore,1 stop,6,5,1745,11467
IndiGo,Delhi,Cochin,1 stop,3,21,305,6232
IndiGo,Kolkata,Banglore,non-stop,3,18,155,4462
Jet Airways,Kolkata,Banglore,1 stop,5,21,1610,14388
Jet Airways,Mumbai,Hyderabad,non-stop,9,6,85,5678
Jet Airways,Banglore,New Delhi,1 stop,3,24,1280,8147
Jet Airways,Kolkata,Banglore,1 stop,9,5,365,14781
Air India,Kolkata,Banglore,1 stop,1,4,905,7893
Jet Airways,Delhi,Cochin,2 stops,6,15,995,14300
IndiGo,Kolkata,Banglore,non-stop,1,4,150,4174
Air India,Kolkata,Banglore,2 stops,1,5,1385,13227
Air India,Delhi,Cochin,2 stops,5,18,500,13486
Jet Airways,Banglore,Delhi,non-stop,6,27,175,8016
Air India,Delhi,Cochin,1 stop,3,6,375,8372
Jet Airways,Mumbai,Hyderabad,non-stop,3,3,90,5678
Air India,Delhi,Cochin,1 stop,5,15,675,8372
Jet Airways,Delhi,Cochin,1 stop,9,3,660,15554
Air India,Kolkata,Banglore,2 stops,5,21,590,10151
SpiceJet,Delhi,Cochin,1 stop,3,6,295,5409
Jet Airways,Kolkata,Banglore,1 stop,9,5,395,7341
Jet Airways,Delhi,Cochin,2 stops,6,15,1760,15339
Jet Airways,Delhi,Cochin,2 stops,9,6,1615,13014
IndiGo,Kolkata,Banglore,non-stop,4,27,165,4804
Jet Airways,Delhi,Cochin,1 stop,3,3,650,17024
IndiGo,Kolkata,Banglore,1 stop,1,4,315,5930
IndiGo,Mumbai,Hyderabad,non-stop,1,5,90,3175
Jet Airways,Banglore,New Delhi,1 stop,1,3,640,26890
Jet Airways,Delhi,Cochin,1 stop,3,27,550,6540
Multiple carriers,Delhi,Cochin,1 stop,5,27,720,7886
Jet Airways,Kolkata,Banglore,1 stop,5,24,870,13067
Multiple carriers,Delhi,Cochin,1 stop,5,15,630,8266
IndiGo,Banglore,Delhi,non-stop,5,18,170,3943
Jet Airways,Delhi,Cochin,1 stop,9,6,1005,10262
Jet Airways,Delhi,Cochin,2 stops,12,6,1300,13376
Multiple carriers,Delhi,Cochin,1 stop,9,6,630,11622
Air India,Chennai,Kolkata,non-stop,12,5,135,4667
Jet Airways,Kolkata,Banglore,1 stop,5,24,690,14151
Vistara,Mumbai,Hyderabad,1 stop,6,3,745,12395
Multiple carriers,Delhi,Cochin,1 stop,5,27,390,7198
SpiceJet,Banglore,Delhi,non-stop,4,18,170,5515
Jet Airways,Banglore,New Delhi,1 stop,3,15,490,9134
IndiGo,Chennai,Kolkata,non-stop,3,24,135,4752
Vistara,Banglore,New Delhi,non-stop,9,3,160,9918
Air India,Banglore,New Delhi,1 stop,3,21,1490,6383
Multiple carriers,Delhi,Cochin,1 stop,3,3,730,15135
IndiGo,Delhi,Cochin,1 stop,5,15,625,6979
Air India,Delhi,Cochin,2 stops,5,18,1380,13591
Air India,Delhi,Cochin,1 stop,3,21,315,5704
IndiGo,Chennai,Kolkata,non-stop,12,3,135,6297
Air India,Banglore,Delhi,non-stop,6,4,165,5176
IndiGo,Banglore,Delhi,non-stop,12,6,170,4823
Jet Airways,Delhi,Cochin,1 stop,12,6,335,10262
Air India,Delhi,Cochin,2 stops,3,21,1595,8236
SpiceJet,Banglore,Delhi,non-stop,1,5,170,4423
Air India,Mumbai,Hyderabad,non-stop,3,18,80,2050
Air India,Delhi,Cochin,non-stop,9,5,185,6094
IndiGo,Banglore,Delhi,non-stop,3,4,170,4823
Jet Airways,Mumbai,Hyderabad,non-stop,3,18,90,2228
Multiple carriers,Delhi,Cochin,1 stop,3,27,375,12537
Jet Airways,Kolkata,Banglore,1 stop,6,5,1630,10953
Jet Airways,Delhi,Cochin,2 stops,3,21,1995,8834
Jet Airways,Delhi,Cochin,2 stops,9,3,1380,16914
Jet Airways,Banglore,New Delhi,1 stop,6,3,1035,16736
Jet Airways,Delhi,Cochin,1 stop,1,4,1655,5406
Jet Airways,Delhi,Cochin,1 stop,3,21,705,12767
Jet Airways,Delhi,Cochin,2 stops,3,3,2245,20064
IndiGo,Delhi,Cochin,1 stop,6,6,750,6416
Jet Airways,Banglore,Delhi,non-stop,12,5,165,5198
GoAir,Banglore,Delhi,non-stop,5,18,175,4239
Multiple carriers,Delhi,Cochin,1 stop,5,27,520,9794
IndiGo,Kolkata,Banglore,non-stop,6,24,155,4804
Jet Airways,Banglore,Delhi,non-stop,4,21,180,5198
SpiceJet,Delhi,Cochin,1 stop,5,18,295,5975
Jet Airways,Mumbai,Hyderabad,non-stop,3,15,90,4160
Jet Airways,Banglore,New Delhi,1 stop,12,3,960,13817
Multiple carriers,Delhi,Cochin,1 stop,3,3,755,18286
Multiple carriers,Delhi,Cochin,1 stop,6,3,710,15867
IndiGo,Delhi,Cochin,1 stop,5,27,750,6838
Air India,Delhi,Cochin,2 stops,9,4,1275,8341
Multiple carriers,Delhi,Cochin,1 stop,6,27,615,14848
Air India,Kolkata,Banglore,2 stops,5,15,970,14960
Air India,Mumbai,Hyderabad,non-stop,9,6,80,3100
Multiple carriers,Delhi,Cochin,1 stop,9,5,555,14323
SpiceJet,Delhi,Cochin,1 stop,9,6,315,5583
Jet Airways,Delhi,Cochin,1 stop,1,6,1570,10262
Jet Airways,Kolkata,Banglore,1 stop,5,24,800,14571
Jet Airways,Delhi,Cochin,1 stop,9,5,520,12373
Multiple carriers,Delhi,Cochin,1 stop,9,5,690,9794
Jet Airways,Banglore,Delhi,non-stop,4,27,175,4544
IndiGo,Kolkata,Banglore,non-stop,3,18,160,4462
IndiGo,Kolkata,Banglore,1 stop,4,15,290,4775
Jet Airways,Kolkata,Banglore,1 stop,5,18,800,13584
Jet Airways,Banglore,New Delhi,1 stop,6,3,1110,17261
Jet Airways,Mumbai,Hyderabad,non-stop,12,5,85,5678
Jet Airways,Banglore,Delhi,non-stop,6,24,165,5769
IndiGo,Delhi,Cochin,non-stop,6,21,195,5406
Multiple carriers,Delhi,Cochin,1 stop,1,6,740,11200
Jet Airways,Delhi,Cochin,1 stop,5,27,450,9732
IndiGo,Banglore,Delhi,non-stop,4,27,165,4591
Jet Airways,Delhi,Cochin,1 stop,6,6,1270,10262
Jet Airways,Delhi,Cochin,2 stops,3,6,810,13292
Vistara,Banglore,Delhi,non-stop,4,18,170,5613
Air India,Kolkata,Banglore,2 stops,5,24,445,7662
Jet Airways,Delhi,Cochin,2 stops,6,15,1090,14237
Air Asia,Kolkata,Banglore,1 stop,9,6,720,11323
IndiGo,Delhi,Cochin,non-stop,9,5,195,5000
IndiGo,Kolkata,Banglore,1 stop,5,21,265,3574
IndiGo,Banglore,Delhi,non-stop,6,21,165,3943
Air India,Delhi,Cochin,1 stop,3,27,1420,5957
IndiGo,Kolkata,Banglore,1 stop,6,6,315,6711
SpiceJet,Delhi,Cochin,1 stop,4,15,270,5726
Jet Airways,Banglore,New Delhi,1 stop,3,21,1050,7832
Vistara,Banglore,New Delhi,non-stop,9,3,160,7398
IndiGo,Delhi,Cochin,1 stop,12,6,665,6818
Jet Airways,Banglore,New Delhi,1 stop,6,3,340,19225
Vistara,Banglore,New Delhi,non-stop,3,24,175,6558
IndiGo,Delhi,Cochin,1 stop,4,24,425,6171
Jet Airways,Kolkata,Banglore,1 stop,12,6,400,13626
Jet Airways,Delhi,Cochin,2 stops,9,4,1375,10909
Jet Airways,Mumbai,Hyderabad,non-stop,3,18,90,5678
Jet Airways,Delhi,Cochin,1 stop,3,4,1005,4757
Air Asia,Banglore,Delhi,non-stop,3,4,170,4483
Jet Airways,Banglore,New Delhi,1 stop,3,15,350,21934
IndiGo,Kolkata,Banglore,1 stop,5,21,235,4226
IndiGo,Banglore,Delhi,non-stop,3,4,180,3943
Jet Airways,Delhi,Cochin,1 stop,3,27,590,12032
Jet Airways,Kolkata,Banglore,1 stop,1,5,730,10844
Jet Airways,Kolkata,Banglore,1 stop,12,6,450,12739
Jet Airways,Kolkata,Banglore,1 stop,9,5,330,9663
Jet Airways,Banglore,New Delhi,1 stop,3,18,435,12284
Air India,Banglore,New Delhi,1 stop,3,3,745,11003
Air India,Delhi,Cochin,2 stops,9,3,1410,11701
SpiceJet,Banglore,Delhi,non-stop,9,4,175,3919
Jet Airways,Banglore,New Delhi,1 stop,3,21,450,7832
SpiceJet,Mumbai,Hyderabad,non-stop,3,27,85,1759
Jet Airways,Mumbai,Hyderabad,non-stop,6,24,90,4995
Air India,Delhi,Cochin,non-stop,9,4,170,4729
Air India,Delhi,Cochin,1 stop,5,21,1255,7480
IndiGo,Banglore,Delhi,non-stop,4,24,180,4823
Air India,Mumbai,Hyderabad,non-stop,3,4,90,2575
Jet Airways,Banglore,New Delhi,1 stop,3,18,435,12284
Jet Airways,Kolkata,Banglore,1 stop,9,6,1480,12692
IndiGo,Banglore,Delhi,non-stop,5,15,170,3943
Multiple carriers,Delhi,Cochin,1 stop,6,6,845,10678
Jet Airways,Delhi,Cochin,1 stop,5,18,1280,12373
IndiGo,Chennai,Kolkata,non-stop,12,5,145,4332
IndiGo,Delhi,Cochin,1 stop,4,15,300,5947
Multiple carriers,Delhi,Cochin,1 stop,9,5,930,15078
IndiGo,Banglore,New Delhi,1 stop,1,3,300,22153
Vistara,Kolkata,Banglore,1 stop,1,4,1550,8610
Air India,Banglore,Delhi,non-stop,4,15,170,5228
Air India,Kolkata,Banglore,1 stop,12,6,375,11936
Jet Airways,Delhi,Cochin,2 stops,6,15,440,15812
Air India,Kolkata,Banglore,1 stop,3,24,1185,12173
Jet Airways,Kolkata,Banglore,1 stop,5,24,705,14571
Air India,Chennai,Kolkata,non-stop,9,6,135,4667
Air Asia,Kolkata,Banglore,1 stop,1,4,720,5192
Jet Airways,Banglore,New Delhi,1 stop,6,3,1455,17996
Jet Airways,Delhi,Cochin,1 stop,5,15,620,12373
Air India,Kolkata,Banglore,2 stops,5,24,1165,15422
SpiceJet,Kolkata,Banglore,non-stop,6,15,150,3841
IndiGo,Chennai,Kolkata,non-stop,3,5,140,5277
Jet Airways,Banglore,New Delhi,1 stop,3,21,1200,7832
Jet Airways,Mumbai,Hyderabad,non-stop,6,5,85,8040
Air India,Delhi,Cochin,2 stops,9,6,2295,9968
Jet Airways,Delhi,Cochin,1 stop,6,24,1355,10262
IndiGo,Banglore,Delhi,non-stop,3,5,175,4823
Jet Airways,Delhi,Cochin,1 stop,5,27,715,16289
Air India,Banglore,New Delhi,2 stops,3,15,1625,8534
Jet Airways,Delhi,Cochin,1 stop,9,5,1145,12373
Jet Airways,Kolkata,Banglore,1 stop,5,18,510,14781
Jet Airways,Banglore,New Delhi,1 stop,12,3,850,11087
Jet Airways,Delhi,Cochin,1 stop,6,15,825,10262
Jet Airways,Kolkata,Banglore,1 stop,12,6,590,13626
IndiGo,Delhi,Cochin,1 stop,3,21,300,6893
Air Asia,Banglore,Delhi,non-stop,6,6,165,4483
Jet Airways,Delhi,Cochin,2 stops,9,5,1375,13029
IndiGo,Kolkata,Banglore,non-stop,4,18,155,4174
Air India,Kolkata,Banglore,2 stops,3,24,1210,12352
GoAir,Delhi,Cochin,1 stop,6,6,540,4959
Multiple carriers,Delhi,Cochin,1 stop,12,6,460,10678
Jet Airways,Delhi,Cochin,1 stop,6,24,1010,10262
Vistara,Chennai,Kolkata,non-stop,6,15,135,3687
IndiGo,Delhi,Cochin,1 stop,5,24,810,7006
IndiGo,Banglore,Delhi,non-stop,3,4,170,3943
Multiple carriers,Delhi,Cochin,1 stop,3,6,705,7354
Jet Airways,Banglore,New Delhi,1 stop,3,15,760,9134
Vistara,Kolkata,Banglore,1 stop,9,6,1550,9135
SpiceJet,Kolkata,Banglore,non-stop,4,18,155,3873
IndiGo,Banglore,Delhi,non-stop,4,27,170,4423
Jet Airways,Delhi,Cochin,1 stop,3,3,995,17024
IndiGo,Delhi,Cochin,1 stop,3,21,810,8784
Vistara,Banglore,Delhi,non-stop,1,5,170,4668
Multiple carriers,Delhi,Cochin,1 stop,6,6,455,8266
IndiGo,Banglore,Delhi,non-stop,6,15,165,3419
Jet Airways,Kolkata,Banglore,1 stop,9,6,800,11841
Jet Airways,Banglore,Delhi,non-stop,9,5,180,7229
Multiple carriers,Delhi,Cochin,1 stop,9,5,780,9794
Air India,Delhi,Cochin,1 stop,6,24,615,9404
Multiple carriers,Delhi,Cochin,1 stop,9,6,520,11789
Air India,Delhi,Cochin,2 stops,5,21,1545,11911
Jet Airways,Kolkata,Banglore,1 stop,1,4,1220,12681
Jet Airways,Kolkata,Banglore,1 stop,5,21,960,14781
Jet Airways,Banglore,Delhi,non-stop,4,24,185,7229
Air Asia,Banglore,Delhi,non-stop,3,5,165,4483
SpiceJet,Kolkata,Banglore,non-stop,9,4,145,3873
Jet Airways,Mumbai,Hyderabad,non-stop,6,5,90,4995
Air India,Banglore,Delhi,non-stop,6,6,165,6961
Air India,Delhi,Cochin,2 stops,6,3,1490,20416
SpiceJet,Delhi,Cochin,1 stop,12,6,270,5264
Jet Airways,Kolkata,Banglore,1 stop,5,21,1360,10844
Multiple carriers,Delhi,Cochin,1 stop,6,24,780,12524
Jet Airways,Delhi,Cochin,1 stop,3,6,805,14714
IndiGo,Delhi,Cochin,1 stop,3,27,845,6206
Jet Airways,Kolkata,Banglore,1 stop,5,15,845,8586
Vistara,Kolkata,Banglore,1 stop,6,6,765,8452
Jet Airways,Delhi,Cochin,2 stops,3,21,1420,8834
GoAir,Delhi,Cochin,1 stop,3,27,350,5281
Air India,Delhi,Cochin,non-stop,6,6,170,5201
Vistara,Kolkata,Banglore,1 stop,12,5,965,9922
Jet Airways,Delhi,Cochin,1 stop,3,27,1375,12032
Jet Airways,Delhi,Cochin,1 stop,6,15,330,10262
Air Asia,Kolkata,Banglore,2 stops,6,6,500,6810
SpiceJet,Kolkata,Banglore,non-stop,6,27,150,3841
Air India,Kolkata,Banglore,1 stop,12,5,965,6327
